"","seq_name","frac_map_valid","frac_map_invalid","frac_unmapped","specificity"
"1","mm10_rmsk_L1Md_T_chrX:114872695-114877142",0.555555555555556,0.333333333333333,0.111111111111111,0.833333333333333
"2","mm10_rmsk_L1Md_F2_chr19:51004534-51007448",1,0,0,1
"3","mm10_rmsk_L1Md_F2_chr3:147778828-147781845",1,0,0,1
"4","mm10_rmsk_L1Md_T_chrY:33767737-33770262",0.833333333333333,0.166666666666667,0,1
"5","mm10_rmsk_L1Md_T_chr5:22364473-22367896",0.777777777777778,0.222222222222222,0,1
"6","mm10_rmsk_L1Md_F2_chr15:6108272-6113365",1,0,0,1
"7","mm10_rmsk_L1Md_T_chr1:114557306-114563416",0.153846153846154,0.538461538461538,0.307692307692308,1
"8","mm10_rmsk_L1Md_A_chrX:126195849-126201229",0.181818181818182,0.636363636363636,0.181818181818182,1
"9","mm10_rmsk_L1Md_F2_chrX:145925964-145930288",1,0,0,1
"10","mm10_rmsk_L1Md_T_chr18:28813612-28819698",1,0,0,0.928571428571429
"11","mm10_rmsk_L1Md_F2_chr18:71123608-71126273",1,0,0,1
"12","mm10_rmsk_L1Md_F3_chr18:88262962-88269112",1,0,0,0.928571428571429
"13","mm10_rmsk_L1Md_F3_chr9:35851973-35855569",1,0,0,1
"14","mm10_rmsk_L1Md_T_chr1:162063585-162069167",0.0833333333333333,0.416666666666667,0.5,1
"15","mm10_rmsk_L1Md_T_chr2:57629726-57635633",0.833333333333333,0.166666666666667,0,0.833333333333333
"16","mm10_rmsk_L1Md_T_chr1:140923894-140929410",0.0833333333333333,0.5,0.416666666666667,1
"17","mm10_rmsk_L1Md_A_chrX:68176943-68183309",0.0769230769230769,0.538461538461538,0.384615384615385,1
"18","mm10_rmsk_L1Md_F2_chr17:40276652-40279724",1,0,0,1
"19","mm10_rmsk_L1Md_F2_chr12:49353748-49357237",1,0,0,1
"20","mm10_rmsk_L1Md_A_chr6:117528054-117531432",0.142857142857143,0.571428571428571,0.285714285714286,1
"21","mm10_rmsk_L1Md_T_chr1:130602012-130606428",0.222222222222222,0.777777777777778,0,1
"22","mm10_rmsk_L1Md_F3_chr12:62162915-62169081",1,0,0,1
"23","mm10_rmsk_L1Md_F2_chrX:30108888-30111007",0,1,0,0
"24","mm10_rmsk_L1Md_F2_chr1:50770953-50776141",1,0,0,1
"25","mm10_rmsk_L1Md_A_chr3:11966951-11973303",0.692307692307692,0.153846153846154,0.153846153846154,0.9
"26","mm10_rmsk_L1Md_T_chr1:80135573-80139400",0.25,0.5,0.25,1
"27","mm10_rmsk_L1Md_F2_chrX:89070883-89074130",1,0,0,0.875
"28","mm10_rmsk_L1Md_F2_chr7:15283432-15287139",1,0,0,1
"29","mm10_rmsk_L1Md_F2_chr13:106224778-106230818",1,0,0,0.928571428571429
"30","mm10_rmsk_L1Md_F2_chr3:26493515-26498213",1,0,0,1
"31","mm10_rmsk_L1Md_A_chr17:38225075-38230443",0.727272727272727,0.181818181818182,0.0909090909090909,0.888888888888889
"32","mm10_rmsk_L1Md_T_chr11:26669334-26674859",0.5,0.5,0,1
"33","mm10_rmsk_L1Md_T_chrX:167246095-167251264",0.545454545454545,0.363636363636364,0.0909090909090909,1
"34","mm10_rmsk_L1Md_F3_chr12:48626157-48631033",1,0,0,1
"35","mm10_rmsk_L1Md_T_chr5_JH584299_random:513362-519583",0.769230769230769,0.153846153846154,0.0769230769230769,0.909090909090909
"36","mm10_rmsk_L1Md_A_chr2:10691589-10697766",0.461538461538462,0.538461538461538,0,1
"37","mm10_rmsk_L1Md_A_chr14:92792671-92797593",1,0,0,1
"38","mm10_rmsk_L1Md_T_chr14:72909363-72916786",0.0666666666666667,0.666666666666667,0.266666666666667,1
"39","mm10_rmsk_L1Md_F2_chr1:116047342-116053717",1,0,0,1
"40","mm10_rmsk_L1Md_T_chr5_GL456354_random:45661-50679",0.818181818181818,0.181818181818182,0,1
"41","mm10_rmsk_L1Md_F2_chr8:78964623-78969689",0.909090909090909,0,0.0909090909090909,1
"42","mm10_rmsk_L1Md_F2_chr14:53444087-53450287",1,0,0,1
"43","mm10_rmsk_L1Md_T_chr8:64891393-64895776",0,0.222222222222222,0.777777777777778,NA
"44","mm10_rmsk_L1Md_A_chrX:82475798-82482201",0.538461538461538,0.384615384615385,0.0769230769230769,0.875
"45","mm10_rmsk_L1Md_T_chrX:3455224-3460258",1,0,0,0.916666666666667
"46","mm10_rmsk_L1Md_F2_chr14:43972580-43975579",1,0,0,1
"47","mm10_rmsk_L1Md_T_chr4:3072883-3079033",0.846153846153846,0.0769230769230769,0.0769230769230769,0.916666666666667
"48","mm10_rmsk_L1Md_T_chr10:92803220-92809459",0.461538461538462,0.461538461538462,0.0769230769230769,0.857142857142857
"49","mm10_rmsk_L1Md_F3_chr12:87960987-87966689",1,0,0,1
"50","mm10_rmsk_L1Md_A_chr3:125208666-125215634",0.214285714285714,0.642857142857143,0.142857142857143,0.75
"51","mm10_rmsk_L1Md_T_chrX:37486349-37490247",0.75,0.25,0,1
"52","mm10_rmsk_L1Md_F_chr18:21795174-21799501",1,0,0,1
"53","mm10_rmsk_L1Md_F_chr5:19111763-19115176",1,0,0,0.875
"54","mm10_rmsk_L1Md_F2_chr10:73679754-73682298",1,0,0,1
"55","mm10_rmsk_L1Md_F2_chr4:21030782-21035870",1,0,0,1
"56","mm10_rmsk_L1Md_T_chr4:105735394-105741032",0.0833333333333333,0.666666666666667,0.25,1
"57","mm10_rmsk_L1Md_F2_chr12:118973044-118978134",1,0,0,1
"58","mm10_rmsk_L1Md_A_chr4:18221622-18227045",0.181818181818182,0.818181818181818,0,1
"59","mm10_rmsk_L1Md_F2_chr15:95178758-95180831",0.8,0.2,0,1
"60","mm10_rmsk_L1Md_T_chr7:53386390-53388721",0.6,0.2,0.2,1
"61","mm10_rmsk_L1Md_F2_chrY:44717361-44722268",1,0,0,1
"62","mm10_rmsk_L1Md_F3_chr8:15761287-15763516",1,0,0,1
"63","mm10_rmsk_L1Md_A_chr5:57432381-57438956",0.285714285714286,0.714285714285714,0,1
"64","mm10_rmsk_L1Md_T_chr2:90087392-90093385",0.25,0.583333333333333,0.166666666666667,0.6
"65","mm10_rmsk_L1Md_A_chr6:4255543-4260742",0.636363636363636,0.363636363636364,0,1
"66","mm10_rmsk_L1Md_F2_chrX:50518589-50522885",1,0,0,1
"67","mm10_rmsk_L1Md_F2_chrX:77027483-77033108",1,0,0,1
"68","mm10_rmsk_L1Md_T_chr8:93577390-93584438",0,0.466666666666667,0.533333333333333,NA
"69","mm10_rmsk_L1Md_T_chr2:7588887-7593962",0.909090909090909,0,0.0909090909090909,1
"70","mm10_rmsk_L1Md_F2_chr9:12701581-12704203",1,0,0,1
"71","mm10_rmsk_L1Md_T_chr13:30186996-30190582",0,0.75,0.25,0
"72","mm10_rmsk_L1Md_T_chr18:85074407-85080573",0,0.692307692307692,0.307692307692308,NA
"73","mm10_rmsk_L1Md_F2_chr14:9176235-9178620",1,0,0,1
"74","mm10_rmsk_L1Md_T_chr1:18472709-18478219",0.75,0.166666666666667,0.0833333333333333,1
"75","mm10_rmsk_L1Md_A_chr1:17698946-17705527",0.0714285714285714,0.714285714285714,0.214285714285714,1
